subject,order,location,color,Language,Task
3,44,C18,11,English,Open
3,45,C18,11,English,Fixed
3,107,C19,11,English,Open
3,56,C19,11,English,Fixed
3,37,C2,11,English,Open
3,37,C2,9,English,Fixed
3,63,C20,11,English,Open
3,72,C20,11,English,Fixed
3,133,C3,9,English,Open
3,143,C3,9,English,Fixed
3,96,C4,10,English,Open
3,40,C4,6,English,Fixed
3,77,C5,5,English,Open
3,44,C5,6,English,Fixed
3,132,C6,5,English,Open
3,145,C6,6,English,Fixed
3,21,C7,5,English,Open
3,90,C7,5,English,Fixed
3,91,C8,5,English,Open
3,76,C8,5,English,Fixed
3,149,C9,5,English,Open
3,33,C9,5,English,Fixed
3,152,D1,11,English,Open
3,2,D1,11,English,Fixed
3,115,D10,5,English,Open
3,120,D10,5,English,Fixed
3,23,D11,5,English,Open
3,131,D11,5,English,Fixed
3,15,D12,AQUA,English,Open
3,76,D13,AQUA,English,Open
3,55,D13,4,English,Fixed
3,129,D14,4,English,Open
3,130,D14,4,English,Fixed
3,86,D15,4,English,Open
3,115,D15,8,English,Fixed
3,70,D16,8,English,Open
3,43,D17,8,English,Open
3,119,D17,8,English,Fixed
3,98,D18,11,English,Open
3,152,D18,11,English,Fixed
3,87,D19,11,English,Open
3,30,D19,11,English,Fixed
3,33,D2,9,English,Open
3,38,D2,9,English,Fixed
3,67,D20,11,English,Open
3,87,D20,11,English,Fixed
3,49,D3,10,English,Open
3,13,D3,9,English,Fixed
3,42,D4,10,English,Open
3,136,D4,6,English,Fixed
3,66,D5,5,English,Open
3,116,D5,10,English,Fixed
3,60,D6,5,English,Open
3,149,D6,5,English,Fixed
3,150,D7,5,English,Open
3,63,D7,5,English,Fixed
3,109,D8,5,English,Open
3,25,D8,5,English,Fixed
3,145,D9,5,English,Open
3,22,D9,5,English,Fixed
3,75,E1,11,English,Open
3,52,E1,3,English,Fixed
3,3,E10,5,English,Open
3,134,E10,5,English,Fixed
3,72,E11,5,English,Open
3,97,E11,5,English,Fixed
3,62,E12,AQUA,English,Open
3,16,E12,4,English,Fixed
3,155,E13,AQUA,English,Open
3,118,E13,4,English,Fixed
3,90,E14,5,English,Open
3,105,E14,4,English,Fixed
3,157,E15,4,English,Open
3,125,E15,5,English,Fixed
3,29,E16,8,English,Open
3,26,E16,8,English,Fixed
3,121,E17,8,English,Open
3,68,E17,8,English,Fixed
3,19,E18,11,English,Open
3,75,E18,8,English,Fixed
3,47,E19,11,English,Open
3,84,E19,11,English,Fixed
3,5,E2,3,English,Open
3,69,E2,9,English,Fixed
3,79,E20,11,English,Open
3,126,E20,4,English,Fixed
3,40,E3,10,English,Open
3,43,E3,10,English,Fixed
3,89,E4,10,English,Open
3,23,E4,10,English,Fixed
3,104,E5,5,English,Open
3,154,E5,6,English,Fixed
3,139,E6,5,English,Open
3,6,E6,5,English,Fixed
3,131,E7,5,English,Open
3,20,E7,5,English,Fixed
3,125,E8,5,English,Open
3,24,E8,5,English,Fixed
3,144,E9,5,English,Open
3,129,E9,5,English,Fixed
3,27,F1,3,English,Open
3,50,F1,3,English,Fixed
3,119,F10,5,English,Open
3,159,F10,5,English,Fixed
3,64,F11,5,English,Open
3,8,F11,5,English,Fixed
3,50,F12,AQUA,English,Open
3,101,F13,AQUA,English,Open
3,10,F13,4,English,Fixed
3,124,F14,AQUA,English,Open
3,51,F14,4,English,Fixed
3,17,F15,4,English,Open
3,18,F15,4,English,Fixed
3,14,F16,8,English,Open
3,95,F16,8,English,Fixed
3,32,F17,8,English,Open
3,29,F17,8,English,Fixed
3,99,F18,8,English,Open
3,42,F18,8,English,Fixed
3,126,F19,11,English,Open
3,144,F19,8,English,Fixed
3,61,F2,3,English,Open
3,113,F2,10,English,Fixed
3,35,F20,11,English,Open
3,35,F20,11,English,Fixed
3,156,F3,10,English,Open
3,96,F3,10,English,Fixed
3,8,F4,10,English,Open
3,132,F4,10,English,Fixed
3,88,F5,5,English,Open
3,32,F5,10,English,Fixed
3,138,F6,5,English,Open
3,80,F6,5,English,Fixed
3,127,F7,5,English,Open
3,107,F7,5,English,Fixed
3,113,F8,5,English,Open
3,47,F8,5,English,Fixed
3,73,F9,5,English,Open
3,89,F9,5,English,Fixed
3,95,G1,11,English,Open
3,86,G1,3,English,Fixed
3,141,G10,5,English,Open
3,135,G10,5,English,Fixed
3,11,G11,5,English,Open
3,117,G11,5,English,Fixed
3,34,G12,5,English,Open
3,61,G12,5,English,Fixed
3,31,G13,5,English,Open
3,151,G13,4,English,Fixed
3,120,G14,4,English,Open
3,19,G14,4,English,Fixed
3,108,G15,4,English,Open
3,59,G15,4,English,Fixed
3,38,G16,8,English,Open
3,121,G16,8,English,Fixed
3,57,G17,8,English,Open
3,1,G17,8,English,Fixed
3,143,G18,8,English,Open
3,78,G18,8,English,Fixed
3,78,G19,8,English,Open
3,123,G19,8,English,Fixed
3,128,G2,10,English,Open
3,67,G2,10,English,Fixed
3,80,G20,11,English,Open
3,157,G20,8,English,Fixed
3,122,G3,10,English,Open
3,82,G3,10,English,Fixed
3,51,G4,10,English,Open
3,110,G4,10,English,Fixed
3,13,G5,10,English,Open
3,36,G5,10,English,Fixed
3,83,G6,5,English,Open
3,114,G6,5,English,Fixed
3,116,G7,5,English,Open
3,155,G7,5,English,Fixed
3,81,G8,5,English,Open
3,66,G8,5,English,Fixed
3,55,G9,5,English,Open
3,79,G9,5,English,Fixed
3,147,H1,11,English,Open
3,112,H1,10,English,Fixed
3,28,H10,5,English,Open
3,4,H10,5,English,Fixed
3,123,H11,5,English,Open
3,14,H11,5,English,Fixed
3,6,H12,5,English,Open
3,142,H12,4,English,Fixed
3,52,H13,4,English,Open
3,83,H13,4,English,Fixed
3,130,H14,4,English,Open
3,158,H14,4,English,Fixed
3,68,H15,4,English,Open
3,106,H15,4,English,Fixed
3,117,H16,4,English,Open
3,100,H16,8,English,Fixed
3,112,H17,8,English,Open
3,71,H17,8,English,Fixed
3,16,H18,8,English,Open
3,138,H18,8,English,Fixed
3,82,H19,8,English,Open
3,98,H19,8,English,Fixed
3,59,H2,10,English,Open
3,5,H2,10,English,Fixed
3,71,H20,11,English,Open
3,58,H20,8,English,Fixed
3,148,H3,10,English,Open
3,133,H3,19,English,Fixed
3,92,H4,10,English,Open
3,24,H5,10,English,Open
3,85,H5,1,English,Fixed
3,36,H6,10,English,Open
3,102,H6,1,English,Fixed
3,4,H7,1,English,Open
3,9,H7,1,English,Fixed
3,12,H8,1,English,Open
3,94,H8,1,English,Fixed
3,101,H8,5,English,Fixed
3,84,H9,5,English,Open
3,150,H9,5,English,Fixed
4,94,A1,11,English,Open
4,23,A1,11,English,Fixed
4,72,A10,4,English,Open
4,43,A10,5,English,Fixed
4,89,A11,4,English,Open
4,138,A11,5,English,Fixed
4,95,A12,2,English,Open
4,134,A12,4,English,Fixed
4,81,A13,4,English,Open
4,144,A13,4,English,Fixed
4,74,A14,2,English,Open
4,20,A14,4,English,Fixed
4,103,A15,4,English,Open
